,name
0,Very Nice 2Br - Copacabana - WiFi
1,Nice and cozy near Ipanema Beach
2,Beautiful Modern Decorated Studio in Copa
3,NICE & COZY 1BDR - IPANEMA BEACH
4,Cosy flat close to Ipanema beach
5,COPACABANA SEA BREEZE  -  RIO
6,Copa Tabajaras
7,Beautiful studio in Santa with terrace
8,"Beach Block 6bed Penthouse, Ipanema Best Location!"
9,Rio de Janeiro Copacabana Ipanema
10,Special deal 4 BR beach corner
11,Lindo 01 quarto / sala - próximo Lagoa ( Humaitá )
12,Djalma Ocean View - #100A
13,Beach Block 3Bed ensuite in Ipanema Best Location!
14,4 Suites lake front Barra da Tijuca
15,"Ocean view Copacabana,Ipanema"
16,Nice room at the famous Ipanema!
17,The Olympic Games in 1950 sq feet
18,NICE APARTAMENT AT IPANEMA- RIO DE
19,Ipanema amazing 2 BDRs apartment.
20,"Beach Block 3bed Penthouse, Ipanema Best Location!"
21,Beach apart in Rio (January/February 2019)
22,Studio Apart  for rent in ipanema.
23,Copacabana Beach Living+AirConWiFi 
24,Apart-hotel in Ipanema with service and garage
25,"Room at Leblon, great place to stay"
26,IPANEMA-Steps2BEACH!
27,Suíte in condo - Barra da Tijuca
28,Studio Between Ipanema/Copacabana
29,Modern Copacabana near Ipanema
30, Copacabana 2 BR Penthouse Duplex
31,Spacious Home Heart of Rio290m4QT. Discount15%week
32,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1"
33,Private Room in Copacabanas’heart
34,❤Unique RIO | retreat w/ forest view in hot spot
35,Stay in a small imperial castle !
36,Cozy Apt in the heart of Copacabana
37,Ipanema Copa Posto 6 Studio Rio
38,AMAZING VIEW ON THE LEBLON/IPANEMA BOARDER.
39,Room For a Rent : Rio de Janeiro
40,Condomínio Villagio do Campo IV
41,Flat Top em Ipanema à 150 metros da praia
42,Front of the beach in Rio de Janeir
43,LINDO APARTAMENTO NA QUADRA DA PRAIA - NOVO
44,» 30% Off « Beach 50m & Metro > 5 min!!
45,Charm with a great location Leblon 
46,ONE BLOCK FROM THE BEACH! BEST PLACE
47,Exotic place in Rio de Janeiro.
48,IPANEMA  QUARTO + BANHEIRO PRIVADO 
49,Lovely room in Jardim Botânico
50,"Linda vista para montanha, 200 metros da praia"
51,Butterfly Vanazul Guest House
52,temporada
53,New brand de luxe flat on the beach
54,Amazing ocean view !
55,APARTAMENT IN BOTAFOGO  BEAUTIFULL
56,Rio de Janeiro for you! Go for it!
57,Quartos na praia mais linda do Rio
58,Lapa Archs | Santa Teresa best studio for 2 people
59,Right in front of the beach in Rio!
60,fully furnished flat 4 pax Barra 
61,APARTAMENT IN FRONT OF THE BEACH
62,santa teresa bairro fatima lapa
63,Olympic Games - Rent Ap Leme beach
64,Barra da Tijuca - Rio de Janeiro
65,Quarto reformado
66,COMFORTABLE ROOM WITH BEAUTIFUL PANORAMIC VIEW
67,Nice 1 BR Apartment in Copacabana
68,IPANEMA'S MOST BEAUTIFUL VIEW for 6+2
69,House with ocean view.
70,QUARTO P/MULHER NA BARRA regiao Olimpica RIR
71,Bedroom Lagoa   
72,HOUSE AND BREAKFAST
73,Vera´s Guesthouse - # 1
74,Big and cosy room in Rio downtown!
75,Copacabana Apt Rent-Season
76,DISCOVERING RIO - Maracanã & Samba
77,SPECIAL LOW SEASON PRICES: COPA STUDIO
78,Very charming one bedroom flat
79,Alugo quarto por temporada na Gavea!
80,Cool architect's apt in Humaitá
81,Cozy B&B in Santa Teresa Rio 1
82,Double room in family house
83,"Excelente Apartamento tipo studio, silencioso"
84,Nice penthouse in Copacabana beach
85,beauty beedrom in Laranjeiras.
86,QUARTO PRIVATIVO
87,The room has its own toilet.
88,Cozy Bedroom in Tijuca 01
89,Very sophisticated best location
90,Charming 2 bedroom flat in Leblon
91,Penthouse at Lagoa close to Ipanema
92,"2BR, 2 blocks from Ipanema Beach"
93,URCA Amazing Penthouse w/ best view/ 230 m2
94,APARTAMENT IN PRIME AREA IN IPANEMA
95,Bedroom close them Maracanã
96,Room for two people
97,double room large and beautiful
98,Suite in a beautiful house-Lagoa/RJ
99,HOLYDAYS ON RIO AS NATIVE-WONDERFUL
100,FAMILIAR SPACE
101,Vem pra Guaratiba!
102,Apartament in Recreio Rio Janeiro
103,Lindo Apt. Rio Centro / Rock in Rio
104,CASA ESPAÇOSA PARA FÉRIAS NO RIO DE JANEIRO!
105,Your Home at Copacabana
106,"Spacious room in Rio, near metro"
107,Studio  70 meters from Copacabana beach
108,Private Double room at Copacabana
109,O MELHOR ESTÚDIO DE  COPACABANA
110,"Arpoador beach, the best part of Ipanema"
111,Family accommodation
112,Quiet studio in the best of COPA
113,Studio in the HEART of Copacabana
114,Come and feel at home
115,Studio between Ipanema / Copacabana
116,Excelent apt near Copacabana beach
117,Penthouse & Private Quiet Terrace
118,"Studio near the subway, in the carnival's heart"
119,Penthouse Oceanview Copacab/Ipanema
120,Best Internet!Veranda!Penthouse1 US-German Expat
121,Best internet!Veranda!Penthouse2 US-German Expat!
122,Luxurious penthouse ideal for relocation
123,Cozy Bedroom in Copacabana! R3
124,bedroom and living room Vila Isabel
125,Private room in downtown Rio
126,Silencio e Bom Gosto em Copacabana
127,Quitinete em Santa Teresa
128,Studio in Santa Teresa
129,Copacabana - 2 rooms - Carnival available
130,Venusian Room at Botafogo
131,Charming apartment at Ipanema beach
132,Quarto em Botafogo
133,bedroom suite
134,Ampla Suíte - 100m da Praia Pepê/Barra da Tijuca
135,Bedroom Ipanema 1 block from beach
136,Great Apartment - Ipanema RIO
137,A nice suite on an island in Rio!
138,Flat between Copacabana & Ipanema
139,COME SPEND THE BEST PLACE IN RIO!!!
140,Comfort and safety on your trip
141,Confortable and quiet room - #2
142,30m of Ipanema Beach Studio 1
143,"Nice area,  safe,clean and central"
144,COPACABANA - RIO DE JANEIRO - 1/2 block from beach
145,Excelente local para passar ferias!
146, Best Studio in Rio - Copacabana 
147,Charming apt Lapa Holydays or Mount
148,YOUR HOME IN RIO DE JANEIRO! !!!
149,"IPANEMA PENTHOUSE,JACUZZI + STUNNING CRISTO VIEWS!"
150,Aconchegante Quarto amplo na Tijuca
151,"BEAUTIFUL! Spacious, walking distance to beaches."
152,Belíssima suite - apto com vista mar de Copacabana
153,Apt 700m from Rock in Rio
154,"BEAUTIFUL! Spacious, walking distance to beaches."
155,"Beautiful! Spacious, walking distance to beaches."
156,"BEAUTIFUL! Spacious, walking distance to beaches."
157,STUNNING WEST RIO BEACHES & MNTNS
158,Comfortable room in Flamengo / RIO
159,Cool 3 bedroom Ipanema
160,Varandão Atelier Lounge Sta. Teresa
161,Hosts in Rio Master room (double)
162,Comfortable room in quiet street
163,Amazing Family Resort in Rio/ Barra
164,Copacabana 2BR-2Bath 1 block Beach #1106
165,❤️ MODERN LOFT IN BEST SPOT OF IPANEMA I ❤️
166,"SUITE MASTER COM VISTA DESLUMBRANTE ""LEBLON"""
167,Apart-Hotel Triplex Praia Flamengo
168,Nice Flat in Copacabana  Ocean View
169,"Suite 2 people, beach, events, fun"
170,Nice big studio in Copacabana
171,Apartment on Copacabana beach
172,Around the World Apart Flamengo
173,Family and natural home 
174,PRAIA DE COPACABANA!!   1 BLOCK FROM THE BEACH
175,Simple Room in Botafogo
176,Bedroom with seaview  surrounded with everything
177,Comfortable room close to the beach
